coords,Snout_x,Snout_y,LFL_x,LFL_y,RFL_x,RFL_y,LHL_x,LHL_y,RHL_x,RHL_y,Tailtip_x,Tailtip_y
50,166.2694695,204.5036135,109.1641759,211.8357043,103.2117357,203.0254869,16.36343718,210.1031446,29.09307182,214.5035255,0.217371464,202.569656
51,168.2916861,204.0931025,112.215965,211.0928807,108.9984106,202.3754635,31.52869344,208.8207803,31.79568172,214.9429297,2.465264678,202.5634462
52,168.2733574,204.076066,112.2140489,211.085916,108.9063676,202.3411474,31.5602746,208.8246851,31.77828503,214.9392831,2.456729889,202.558643
53,170.5476542,203.4975886,109.2514303,212.2908554,121.6532807,203.1280463,35.14985389,208.7237911,31.33792114,214.9134326,2.33546555,202.7111695
54,170.5476546,203.4975896,109.2514303,212.2908554,121.6532807,203.1280463,35.14985389,208.7237911,31.33792114,214.9134326,2.33546555,202.7111695
55,172.7794208,202.6901727,109.7487073,211.3510609,130.4633,204.4831009,35.68541825,209.7555196,32.33230352,215.3091266,2.089803576,202.6338657
56,172.798219,202.7078667,109.7473925,211.2377644,130.4605725,204.4977665,35.71453458,209.6561847,32.32223701,215.3518989,2.096407533,202.6690855
57,175.7084465,201.9354324,108.578427,210.5787358,135.8652198,203.8952203,44.77790499,207.8626857,31.73087835,214.6673913,2.212676764,201.9916108
58,175.7084465,201.9354324,108.578427,210.5787358,135.8652198,203.8952203,44.77790499,207.8626857,31.73087835,214.6673913,2.212676764,201.9916108
59,177.8577557,201.6221027,108.2845085,209.5737972,138.6968799,203.6956367,50.64477122,207.4355123,31.36637688,214.0675664,2.793462992,202.3085634
60,178.0192642,201.666801,108.2960054,209.7408051,138.4449403,203.4617014,50.89514029,207.2501659,31.2739625,213.7175719,2.97698617,202.3200009
61,180.094883,200.9341369,108.8637347,209.6134963,144.900804,204.3182209,58.51753747,208.3467517,31.38182592,213.6406178,3.275717676,202.1450224
62,180.1070471,200.7790713,109.0688732,209.5411897,145.0045424,203.9698396,58.05306304,208.2664504,31.58266592,213.6499358,186.6056076,195.7827044
63,183.5659337,201.087863,108.47908,208.9251122,148.5245095,208.1794548,66.6619904,206.8132823,32.08473682,213.4924898,197.5497494,199.9656653
64,183.5808456,201.1087861,108.4789343,208.9270487,148.5280496,208.1526709,66.66912568,206.7907476,32.08797884,213.492506,197.5417433,199.9745498
65,186.0695457,200.9978914,107.8582647,208.931859,149.7761561,210.7114277,76.14868073,204.3987236,32.20939493,213.7304736,198.1592565,198.4161861
